frame,id,x,y,w,h
0,0,320,180,640,360
1,0,320,180,640,360
2,0,320,180,640,360
3,0,320,180,640,360
4,0,320,180,640,360
5,0,320,180,640,360
6,0,320,180,640,360
7,0,320,180,640,360
8,0,320,180,640,360
9,0,320,180,640,360
10,0,320,180,640,360
10,1,143,220,19,25
10,2,126,186,27,38
11,0,320,180,640,360
11,1,143,220,19,25
11,2,124,188,27,38
11,3,131,172,20,16
12,0,320,180,640,360
12,1,147,218,20,25
12,2,123,189,27,18
12,3,131,172,20,16
12,4,126,232,17,21
13,0,320,180,640,360
13,1,147,212,20,17
13,2,120,191,24,17
13,3,131,172,20,16
13,4,129,231,21,21
14,0,320,180,640,360
14,1,147,212,20,17
14,2,119,189,27,25
14,3,131,172,20,16
14,4,129,231,21,21
15,0,320,180,640,360
15,1,153,221,30,39
15,2,119,194,30,36
15,3,131,172,20,16
15,4,131,230,18,22
15,5,204,171,28,16
15,6,212,150,33,22
16,0,320,180,640,360
16,1,153,220,30,38
16,2,116,192,29,35
16,3,131,172,20,16
16,4,131,228,18,19
16,5,204,171,28,16
16,6,212,150,33,22
17,0,320,180,640,360
17,1,154,218,30,37
17,2,114,195,29,35
17,3,131,172,20,16
17,4,131,228,17,19
17,5,204,171,28,16
17,6,212,150,33,22
17,7,61,144,21,17
18,0,320,180,640,360
18,1,157,212,25,26
18,2,112,199,29,33
18,3,131,172,20,16
18,4,133,232,15,22
18,5,204,171,28,16
18,6,212,150,33,22
18,7,61,144,21,17
19,0,320,180,640,360
19,1,154,210,33,27
19,2,110,200,29,38
19,3,131,172,20,16
19,4,133,232,15,22
19,5,204,171,28,16
19,6,210,140,25,13
19,7,61,144,21,17
20,0,320,180,640,360
20,1,154,210,35,29
20,2,109,201,31,39
20,3,131,172,20,16
20,4,133,232,15,22
20,5,204,171,28,16
20,6,218,145,34,27
20,7,61,141,20,19
20,8,143,273,12,28
20,9,45,123,25,23
21,1,158,213,34,37
21,2,107,203,30,39
21,3,131,172,20,16
21,4,133,232,15,22
21,5,204,171,28,16
21,6,214,143,39,25
21,7,61,141,20,19
21,8,143,274,14,31
21,9,43,120,21,18
22,1,158,212,36,37
22,2,106,205,32,39
22,3,135,144,24,13
22,4,133,232,15,22
22,5,204,171,28,16
22,6,216,142,39,27
22,7,61,141,20,19
22,8,145,275,20,40
22,9,44,121,25,23
22,10,172,264,20,27
23,1,161,212,32,39
23,2,104,207,32,39
23,3,134,143,25,13
23,4,133,232,15,22
23,5,204,171,28,16
23,6,219,141,34,27
23,7,61,141,20,19
23,8,145,275,20,40
23,9,44,118,25,18
23,10,172,264,20,27
24,1,163,207,29,30
24,2,102,206,31,34
24,3,134,143,25,13
24,4,133,232,15,22
24,5,204,171,28,16
24,6,217,139,39,27
24,7,61,141,20,19
24,8,145,275,20,40
24,9,43,117,25,18
24,10,172,264,20,27
25,1,161,209,37,39
25,2,101,211,32,41
25,3,124,118,25,17
25,4,133,232,15,22
25,5,204,171,28,16
25,6,217,139,40,28
25,7,61,141,20,19
25,8,140,275,14,29
25,9,43,119,27,25
25,10,172,264,20,27
26,1,162,207,38,38
26,2,99,213,32,40
26,3,125,117,24,16
26,4,133,232,15,22
26,5,204,171,28,16
26,6,220,139,36,31
26,7,61,141,20,19
26,8,137,271,11,28
26,9,44,118,29,24
26,10,169,270,17,23
27,1,164,206,38,39
27,2,97,216,32,43
27,3,133,140,25,12
27,4,133,232,15,22
27,5,204,171,28,16
27,6,219,136,38,28
27,7,61,141,20,19
27,8,137,271,11,28
27,9,42,117,27,25
27,10,169,270,17,23
28,1,164,203,39,37
28,2,95,217,32,45
28,3,133,139,25,13
28,4,133,232,15,22
28,5,204,171,28,16
28,6,219,135,38,28
28,7,61,141,20,19
28,8,137,271,11,28
28,9,41,116,27,25
28,10,168,266,17,25
28,11,128,113,26,13
29,1,165,203,39,40
29,2,94,219,35,45
29,3,133,139,25,13
29,4,133,232,15,22
29,5,204,171,28,16
29,6,219,132,38,26
29,7,61,141,20,19
29,8,136,271,13,33
29,9,42,115,29,24
29,10,168,266,17,25
29,11,126,115,30,18
30,1,167,203,39,42
30,2,93,221,37,46
30,3,133,138,24,14
30,4,133,232,15,22
30,5,204,171,28,16
30,6,219,132,40,28
30,7,61,141,20,19
30,8,138,274,21,44
30,9,41,114,28,25
30,10,165,267,19,29
30,11,123,115,27,18
31,1,168,200,41,41
31,2,92,223,39,46
31,3,133,138,24,14
31,4,133,232,15,22
31,5,204,171,28,16
31,6,220,131,40,30
31,7,61,141,20,19
31,8,137,274,21,44
31,9,41,113,29,25
31,10,165,267,20,29
31,11,122,117,27,24
32,1,170,197,41,39
32,2,91,225,41,46
32,3,133,138,24,14
32,4,133,232,15,22
32,5,204,171,28,16
32,6,220,129,40,29
32,7,61,141,20,19
32,8,138,276,26,44
32,9,41,112,30,25
32,10,164,271,21,36
32,11,121,116,27,25
33,1,171,195,40,39
33,2,87,226,37,46
33,3,133,138,24,14
33,4,133,232,15,22
33,5,204,171,28,16
33,6,221,127,40,29
33,7,61,141,20,19
33,8,137,275,27,46
33,9,38,111,27,25
33,10,164,272,21,34
33,11,122,112,29,19
34,1,171,192,41,35
34,2,86,227,39,47
34,3,133,138,24,14
34,4,133,232,15,22
34,5,204,171,28,16
34,6,220,127,41,30
34,7,61,141,20,19
34,8,138,276,32,45
34,9,39,110,29,25
34,10,162,272,19,33
34,11,119,116,25,27
35,1,172,193,37,40
35,2,85,229,41,47
