frame,id,x,y,w,h
0,0,317,180,634,360
1,0,317,180,634,360
2,0,317,180,634,360
3,0,317,180,634,360
4,0,317,180,634,360
5,0,317,180,634,360
6,0,317,180,634,360
7,0,317,180,634,360
8,0,317,180,634,360
9,0,317,180,634,360
10,0,317,180,634,360
11,0,317,180,634,360
12,0,317,180,634,360
13,0,317,180,634,360
14,0,317,180,634,360
15,0,317,180,634,360
16,0,317,180,634,360
17,0,317,180,634,360
18,0,317,180,634,360
19,0,317,180,634,360
20,0,317,180,634,360
38,1,534,344,39,31
38,2,455,260,27,53
38,3,482,295,99,125
38,4,590,284,87,108
38,5,414,231,31,42
38,6,484,214,20,59
38,7,440,186,16,28
38,8,466,179,32,25
38,9,460,144,34,38
38,10,172,79,45,40
38,11,98,80,36,83
38,12,180,33,46,55
38,13,283,45,46,90
39,1,534,344,39,31
39,2,465,240,133,237
39,3,482,295,99,125
39,4,574,291,120,137
39,5,414,231,31,42
39,6,484,214,20,59
39,7,440,186,16,28
39,8,466,179,32,25
39,9,460,144,34,38
39,10,176,60,55,115
39,11,94,77,52,94
39,12,206,38,13,31
39,13,287,45,54,90
39,14,616,193,20,19
39,15,138,45,31,24
40,1,534,344,39,31
40,2,465,238,133,241
40,3,482,295,99,125
40,4,574,290,120,139
40,5,414,231,31,42
40,6,484,214,20,59
40,7,440,186,16,28
40,8,466,179,32,25
40,9,460,144,34,38
40,10,168,66,92,124
40,11,82,77,80,95
40,12,206,38,13,31
40,13,289,45,58,90
40,14,616,192,20,20
40,15,138,45,31,24
40,16,381,285,29,26
40,17,62,157,20,22
41,1,534,344,39,31
41,2,465,238,133,241
41,3,482,295,99,125
41,4,574,290,120,139
41,5,414,231,31,42
41,6,516,239,236,242
41,7,440,186,16,28
41,8,466,179,32,25
41,9,460,144,34,38
41,10,168,66,92,124
41,11,82,77,80,95
41,12,206,38,13,31
41,13,291,45,62,90
41,14,614,189,24,23
41,15,124,64,178,125
41,16,379,280,33,35
41,17,67,147,16,22
41,18,177,169,25,18
42,1,534,344,39,31
42,2,465,238,133,241
42,3,482,295,99,125
42,4,574,290,120,139
42,5,414,231,31,42
42,6,496,238,276,244
42,7,440,186,16,28
42,8,466,179,32,25
42,9,460,144,34,38
42,10,168,66,92,124
42,11,82,77,80,95
42,12,206,38,13,31
42,13,297,45,74,90
42,14,613,187,26,27
42,15,124,69,180,134
42,16,379,280,33,35
42,17,60,164,29,40
42,18,186,170,43,36
42,19,149,144,11,29
42,20,26,109,24,21
42,21,144,111,12,34
43,1,534,344,39,31
43,2,480,237,307,246
43,3,482,295,99,125
43,4,574,290,120,139
43,5,374,200,24,21
43,6,496,238,276,244
43,7,440,186,16,28
43,8,466,179,32,25
43,9,460,144,34,38
43,10,168,66,92,124
43,11,82,77,80,95
43,12,206,38,13,31
43,13,297,44,74,89
43,14,608,186,35,35
43,15,114,98,223,192
43,16,379,280,33,35
43,17,62,199,11,29
43,18,186,170,43,36
43,19,149,144,11,29
43,20,26,109,24,21
43,21,144,111,12,34
43,22,325,328,22,20
43,23,298,324,25,23
43,24,353,76,34,27
44,1,534,344,39,31
44,2,478,235,311,249
44,3,482,295,99,125
44,4,574,290,120,139
44,5,374,201,24,22
44,6,496,238,276,244
44,7,440,186,16,28
44,8,466,179,32,25
44,9,460,144,34,38
44,10,168,66,92,124
44,11,82,77,80,95
44,12,206,38,13,31
44,13,296,44,76,88
44,14,608,186,36,36
44,15,113,108,226,212
44,16,379,280,33,35
44,17,62,199,11,29
44,18,186,170,43,36
44,19,149,144,11,29
44,20,26,109,24,21
44,21,144,111,12,34
44,22,325,328,22,20
44,23,297,327,28,30
44,24,353,76,34,27
45,1,534,344,39,31
45,2,478,235,311,249
45,3,482,295,99,125
45,4,574,290,120,139
45,5,374,201,24,22
45,6,496,238,276,244
45,7,440,186,16,28
45,8,466,179,32,25
45,9,460,144,34,38
45,10,168,66,92,124
45,11,82,77,80,95
45,12,206,38,13,31
45,13,296,44,76,88
45,14,608,186,36,36
45,15,113,108,226,212
45,16,371,225,18,18
45,17,62,199,11,29
45,18,186,170,43,36
45,19,149,144,11,29
45,20,26,109,24,21
45,21,144,111,12,34
45,22,325,328,22,20
45,23,297,327,28,30
45,24,353,76,34,27
46,1,534,344,39,31
46,2,478,235,311,250
46,3,482,295,99,125
46,4,574,290,120,139
46,5,374,212,24,44
46,6,496,238,276,244
46,7,440,186,16,28
46,8,466,179,32,25
46,9,460,144,34,38
46,10,168,66,92,124
46,11,82,77,80,95
46,12,206,38,13,31
46,13,302,50,88,100
46,14,608,184,36,40
46,15,113,110,226,215
46,16,371,225,18,18
46,17,62,199,11,29
46,18,186,170,43,36
46,19,149,144,11,29
46,20,26,109,24,21
46,21,144,111,12,34
46,22,325,328,22,20
46,23,297,327,28,30
46,24,352,76,35,27
46,25,377,51,25,22
47,1,534,344,39,31
47,2,478,235,311,250
47,3,482,295,99,125
47,4,574,290,120,139
47,5,373,212,26,44
47,6,496,238,276,244
47,7,440,186,16,28
47,8,466,179,32,25
47,9,460,144,34,38
47,10,168,66,92,124
47,11,82,77,80,95
47,12,206,38,13,31
47,13,319,50,102,100
47,14,608,183,36,39
47,15,110,109,220,218
47,16,371,225,18,18
47,17,62,199,11,29
47,18,186,170,43,36
47,19,149,144,11,29
47,20,26,109,24,21
47,21,144,111,12,34
47,22,325,328,22,20
47,23,297,327,28,30
47,24,352,76,35,27
47,25,377,51,25,22
48,1,534,344,39,31
48,2,478,235,311,250
48,3,464,345,24,28
48,4,547,281,174,158
48,5,372,212,27,44
48,6,496,238,276,244
48,7,408,227,171,234
48,8,466,179,32,25
48,9,460,144,34,38
48,10,168,66,92,124
48,11,82,77,80,95
48,12,206,38,13,31
48,13,321,53,98,94
48,14,600,171,23,30
48,15,106,112,212,218
48,16,371,225,18,18
48,17,62,199,11,29
48,18,190,172,60,49
48,19,192,137,20,20
48,20,26,109,24,21
48,21,144,111,12,34
48,22,325,328,22,20
48,23,297,327,28,30
48,24,352,76,35,27
48,25,377,51,25,22
49,1,534,344,39,31
49,2,478,235,311,250
49,3,464,345,24,28
49,4,548,280,171,160
49,5,372,212,27,44
49,6,496,238,276,244
49,7,407,253,168,175
49,8,477,145,19,29
49,9,463,135,51,51
49,10,168,66,92,124
49,11,82,77,80,95
49,12,206,38,13,31
49,13,324,53,92,94
49,14,600,169,23,34
49,15,106,113,212,215
49,16,371,225,18,18
49,17,62,199,11,29
49,18,190,172,60,49
49,19,192,137,20,20
49,20,26,109,24,21
49,21,144,111,12,34
49,22,325,328,22,19
49,23,297,327,28,30
49,24,352,76,35,27
49,25,377,51,25,22
49,26,365,353,33,14
50,1,544,353,23,14
50,2,478,235,311,250
50,3,463,351,34,17
50,4,548,269,171,149
50,5,372,212,27,44
50,6,496,238,276,244
50,7,406,251,166,182
50,8,477,145,19,29
50,9,458,136,41,52
50,10,148,54,124,96
50,11,70,61,32,23
50,12,206,38,13,31
50,13,325,56,90,97
50,14,600,177,23,18
50,15,106,113,212,215
50,16,371,225,18,18
50,17,52,156,105,146
50,18,190,172,59,49
50,19,192,137,20,20
50,20,49,83,38,53
50,21,162,129,45,43
50,22,325,328,22,19
50,23,297,327,28,30
50,24,352,76,35,27
50,25,377,51,25,22
50,26,357,352,50,15
50,27,518,348,36,23
51,1,546,352,26,15
51,2,478,235,311,250
51,3,453,352,37,16
51,4,548,276,171,133
51,5,372,212,28,44
51,6,496,238,276,244
51,7,406,250,166,184
51,8,477,145,19,29
51,9,459,133,42,48
51,10,141,44,108,75
51,11,79,63,18,19
51,12,194,65,27,74
51,13,325,55,90,99
51,14,598,176,19,18
51,15,106,113,212,215
51,16,371,225,18,18
51,17,52,152,105,136
51,18,178,183,34,28
51,19,198,157,19,19
51,20,44,77,21,30
51,21,162,129,45,43
51,22,325,328,22,19
51,23,297,327,28,30
51,24,352,76,35,27
51,25,377,51,25,22
51,26,356,352,51,15
51,27,516,349,32,22
51,28,209,178,22,34
51,29,587,206,19,23
52,1,546,352,26,15
52,2,478,235,311,250
52,3,453,352,37,16
52,4,542,287,184,146
52,5,372,212,28,44
52,6,496,238,276,244
52,7,427,235,123,250
52,8,477,145,19,29
52,9,459,133,42,48
52,10,140,43,107,72
52,11,75,60,32,24
52,12,194,66,28,70
52,13,319,55,69,99
52,14,598,176,19,18
52,15,81,113,40,39
52,16,371,225,18,18
52,17,33,171,67,116
52,18,178,183,31,28
52,19,198,157,19,19
52,20,51,83,31,45
52,21,171,87,14,27
52,22,325,328,22,19
52,23,296,327,29,30
52,24,362,81,15,27
52,25,377,51,25,22
52,26,338,347,88,26
52,27,516,349,32,22
52,28,209,178,22,34
52,29,584,204,18,25
52,30,350,290,54,57
52,31,588,232,19,16
52,32,565,220,25,21
53,1,545,352,22,16
53,2,478,235,311,250
53,3,453,352,37,16
53,4,541,277,185,134
53,5,372,212,28,44
53,6,496,238,276,244
53,7,427,235,123,250
53,8,477,145,19,29
53,9,459,133,42,48
53,10,142,43,97,72
53,11,77,59,32,27
53,12,193,66,28,68
53,13,326,55,55,100
53,14,628,170,12,25
53,15,88,111,24,41
53,16,385,235,199,250
53,17,31,188,61,65
53,18,176,176,30,32
53,19,198,157,19,19
53,20,48,84,35,46
53,21,170,89,14,31
53,22,325,328,22,19
53,23,261,345,23,17
53,24,385,86,22,21
53,25,377,51,25,22
53,26,338,347,88,26
53,27,515,351,33,18
53,28,209,178,22,34
53,29,582,203,16,23
53,30,350,290,54,57
53,31,588,232,19,16
53,32,565,220,25,21
53,33,147,141,10,30
53,34,25,141,51,57
53,35,31,226,18,19
54,1,546,352,24,15
54,2,465,215,40,77
54,3,453,352,37,16
54,4,500,277,118,119
54,5,372,212,28,44
54,6,496,238,276,244
54,7,427,235,123,250
54,8,477,145,19,29
