frame,id,x,y,w,h
0,0,147,120,294,240
1,0,147,120,294,240
2,0,147,120,294,240
3,0,147,120,294,240
4,0,147,120,294,240
5,0,147,120,294,240
6,0,147,120,294,240
7,0,147,120,294,240
8,0,147,120,294,240
9,0,147,120,294,240
10,0,147,120,294,240
11,0,147,120,294,240
12,0,147,120,294,240
13,0,147,120,294,240
14,0,147,120,294,240
15,0,147,120,294,240
16,0,147,120,294,240
17,0,147,120,294,240
18,0,147,120,294,240
19,0,147,120,294,240
20,0,147,120,294,240
21,1,220,60,20,21
22,1,220,63,20,20
23,1,221,61,23,25
24,1,223,60,20,27
25,1,223,59,26,39
26,1,227,65,12,27
27,1,227,65,12,27
28,1,227,65,12,27
29,1,227,65,12,27
30,1,226,64,31,53
31,1,227,63,27,51
32,1,235,64,12,28
32,2,224,78,19,22
33,1,228,67,28,58
33,2,224,78,19,22
34,1,234,38,15,42
34,2,224,78,19,22
35,1,234,38,15,42
35,2,224,78,19,22
36,1,237,44,18,56
36,2,226,89,23,29
37,1,239,51,22,70
37,2,227,94,23,26
38,1,239,50,22,69
38,2,227,93,23,27
39,1,240,52,20,75
39,2,228,97,25,30
40,1,240,45,19,60
40,2,229,98,25,35
41,1,241,54,18,69
41,2,230,101,24,34
42,1,242,52,15,61
42,2,230,107,24,24
43,1,244,43,19,32
43,2,231,107,26,32
44,1,244,43,19,32
44,2,233,115,22,22
45,1,246,46,18,39
45,2,231,114,26,24
46,1,246,47,18,38
46,2,233,116,22,19
47,1,246,47,17,38
47,2,230,114,30,23
48,1,246,47,17,38
48,2,232,113,28,27
49,1,246,47,17,38
49,2,233,122,26,26
50,1,246,47,17,38
50,2,231,119,32,42
51,1,208,14,19,29
51,2,234,126,26,28
52,1,210,15,19,30
52,2,231,127,31,33
53,1,210,17,19,34
53,2,231,127,31,33
54,1,211,17,20,35
54,2,231,127,31,33
55,1,211,17,20,35
55,2,231,127,31,33
56,1,210,16,24,33
56,2,231,127,31,33
57,1,210,17,23,34
57,2,231,127,31,33
58,1,210,21,23,42
58,2,231,127,31,33
59,1,210,24,22,19
59,2,231,127,31,33
60,1,210,26,22,49
60,2,231,127,31,33
61,1,210,26,23,49
61,2,219,112,18,17
62,1,206,34,14,34
62,2,219,113,18,18
63,1,206,34,14,34
63,2,218,114,19,20
64,1,206,34,14,34
64,2,218,115,19,22
65,1,206,27,15,20
65,2,218,116,19,24
66,1,206,34,15,35
66,2,218,115,19,23
66,3,217,11,17,19
67,1,207,29,16,25
67,2,221,116,22,23
67,3,217,11,17,19
68,1,207,29,16,25
68,2,221,116,23,23
68,3,211,18,25,32
69,1,207,29,16,25
69,2,222,116,24,23
69,3,211,20,25,27
70,1,207,29,16,25
70,2,222,117,24,25
70,3,209,23,17,23
70,4,251,58,14,25
71,1,210,27,19,39
71,2,221,118,22,24
71,3,209,23,17,23
71,4,252,61,15,26
72,1,212,30,16,44
72,2,222,119,24,28
72,3,209,23,17,23
72,4,249,52,22,45
73,1,218,35,28,55
73,2,222,122,25,32
73,3,209,23,17,23
73,4,253,63,14,24
73,5,241,36,22,36
74,1,228,35,47,55
74,2,224,128,26,29
74,3,209,23,17,23
74,4,255,70,20,37
74,5,241,36,22,36
75,1,229,35,49,58
75,2,224,130,26,35
75,3,209,23,17,23
75,4,256,72,20,36
75,5,241,36,22,36
76,1,229,35,49,58
76,2,224,132,27,36
76,3,209,23,17,23
76,4,254,97,19,17
76,5,235,49,61,82
77,1,226,36,43,55
77,2,224,132,27,36
77,3,209,23,17,23
77,4,257,85,34,70
77,5,235,49,61,82
78,1,228,37,44,54
78,2,224,134,27,33
78,3,209,23,17,23
78,4,259,85,30,69
78,5,235,49,61,82
79,1,223,40,34,51
79,2,226,133,28,39
79,3,209,23,17,23
79,4,253,65,39,110
79,5,235,49,61,82
80,1,223,37,35,44
80,2,227,135,31,39
80,3,209,23,17,23
80,4,259,85,30,69
80,5,235,49,61,82
80,6,244,25,17,30
81,1,230,35,48,48
81,2,231,135,38,43
81,3,209,23,17,23
81,4,259,81,30,78
81,5,235,49,61,82
81,6,244,25,17,30
82,1,230,35,48,48
82,2,231,137,38,44
82,3,215,38,16,41
82,4,259,81,30,78
82,5,240,40,28,51
82,6,244,25,17,30
83,1,225,39,34,42
83,2,231,138,38,41
83,3,215,38,16,41
83,4,255,65,38,102
83,5,240,40,28,51
83,6,244,25,17,30
84,1,225,39,34,42
84,2,230,138,39,48
84,3,215,43,15,28
84,4,255,69,38,109
84,5,233,44,18,34
84,6,244,25,17,30
85,1,225,39,34,42
85,2,231,140,40,44
85,3,217,47,17,36
85,4,258,84,31,84
85,5,233,45,19,36
85,6,244,25,17,30
86,1,225,39,34,42
86,2,238,132,54,67
86,3,216,44,14,28
86,4,264,89,20,38
86,5,233,49,19,37
86,6,244,25,17,30
